Fri Feb 23 13:42:46 2018    ../cProfile_results/110100011011101101/cProfile.log

         680865947 function calls (660538449 primitive calls) in 4916.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
37471/32958 1985.117    0.053 2401.978    0.073 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
   238937    1.930    0.000   46.572    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:1231(cursor_iter)
904403/448545    1.897    0.000   13.218    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py:32(__get__)
  1284341    1.895    0.000    2.238    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/tree.py:83(add)
  2016808    1.878    0.000    4.000    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py:215(__exit__)
   877135    1.876    0.000    1.876    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:932(join_parent_model)
  2048581    1.874    0.000    2.146    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py:187(release)
   129588    1.873    0.000   44.357    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:529(_apply_rel_filters)
5238777/7976    1.861    0.000    0.002    0.000 {method 'pop' of 'list' objects}
  2101164    1.854    0.000   47.516    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py:342(ugettext)
  1648277    1.845    0.000    1.845    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:250(get_meta)
   167148    1.830    0.000    1.830    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py:1576(_get)
   879610    1.828    0.000    5.895    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/expressions.py:667(get_db_converters)
    44482    1.826    0.000   19.352    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/babel/numbers.py:567(apply)
2905812/2731749    1.823    0.000 1219.390    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:1085(_fetch_all)
   856318    1.807    0.000    3.962    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/collections.py:597(update)
  1464895    1.780    0.000    2.116    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/posixpath.py:82(split)
    88702    1.780    0.000    6.855    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/urlparse.py:251(urljoin)
17083/12214    1.778    0.000  524.743    0.043 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/defaulttags.py:152(render)
   923668    1.774    0.000    4.342    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:890(join)
322560/1260    1.772    0.000  119.234    0.095 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/promise/promise.py:260(done)
   254566    1.749    0.000   49.065    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:546(get_queryset)
   171791    1.747    0.000    2.252    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/loaders/eggs.py:47(get_template_sources)
87650/57586    1.734    0.000   65.439    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/defaulttags.py:882(do_if)
836064/832678    1.726    0.000  237.592    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:708(resolve)
   263476    1.722    0.000    4.526    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib_pypy/datetime.py:1406(__new__)
   167150    1.698    0.000   13.402    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py:423(get_provider)
